date,python,java,javascript,visual basic,isPartial
2010-01-01,1,10,2,0,False
2010-02-01,1,8,2,0,False
2010-03-01,1,13,3,0,False
2010-04-01,2,12,2,0,False
2010-05-01,1,11,2,0,False
2010-06-01,1,11,2,0,False
2010-07-01,2,11,2,0,False
2010-08-01,2,11,2,0,False
2010-09-01,2,10,2,0,False
2010-10-01,1,10,2,0,False
2010-11-01,2,13,2,0,False
2010-12-01,2,14,3,0,False
2011-01-01,2,9,2,0,False
2011-02-01,2,10,2,0,False
2011-03-01,2,12,2,0,False
2011-04-01,2,13,2,0,False
2011-05-01,2,12,2,0,False
2011-06-01,2,12,2,0,False
2011-07-01,2,10,2,0,False
2011-08-01,2,10,2,0,False
2011-09-01,2,10,1,0,False
2011-10-01,1,9,1,0,False
2011-11-01,2,8,1,0,False
2011-12-01,2,8,1,0,False
2012-01-01,1,6,1,0,False
2012-02-01,1,7,1,0,False
2012-03-01,2,8,1,0,False
2012-04-01,1,8,1,0,False
2012-05-01,2,7,1,0,False
2012-06-01,1,6,1,0,False
2012-07-01,1,8,1,0,False
2012-08-01,2,9,1,0,False
2012-09-01,3,16,2,0,False
2012-10-01,3,13,2,0,False
2012-11-01,4,12,2,0,False
2012-12-01,4,12,3,0,False
2013-01-01,4,12,2,0,False
2013-02-01,3,10,2,0,False
2013-03-01,5,14,2,0,False
2013-04-01,6,14,3,0,False
2013-05-01,6,15,3,0,False
2013-06-01,5,12,2,0,False
2013-07-01,6,13,3,0,False
2013-08-01,6,13,2,0,False
2013-09-01,6,14,3,0,False
2013-10-01,6,15,3,0,False
2013-11-01,7,17,3,0,False
2013-12-01,8,18,3,0,False
2014-01-01,7,14,3,0,False
2014-02-01,6,13,3,0,False
2014-03-01,8,18,3,0,False
2014-04-01,9,18,3,0,False
2014-05-01,8,18,3,0,False
2014-06-01,12,19,5,0,False
2014-07-01,21,31,8,0,False
2014-08-01,23,36,8,0,False
2014-09-01,25,35,9,0,False
2014-10-01,24,34,8,0,False
2014-11-01,30,44,11,0,False
2014-12-01,31,44,10,0,False
2015-01-01,44,64,12,0,False
2015-02-01,34,60,12,0,False
2015-03-01,42,63,13,0,False
2015-04-01,43,67,14,0,False
2015-05-01,44,65,13,0,False
2015-06-01,43,64,15,0,False
2015-07-01,57,71,15,0,False
2015-08-01,60,66,16,0,False
2015-09-01,58,66,13,0,False
2015-10-01,55,71,16,0,False
2015-11-01,68,69,17,0,False
2015-12-01,74,81,18,0,False
2016-01-01,53,47,12,0,False
2016-02-01,51,44,10,0,False
2016-03-01,60,55,12,0,False
2016-04-01,56,51,12,0,False
2016-05-01,58,51,12,0,False
2016-06-01,52,48,11,0,False
2016-07-01,66,49,13,0,False
2016-08-01,74,59,14,0,False
2016-09-01,63,49,11,0,False
2016-10-01,58,46,12,0,False
2016-11-01,79,55,14,0,False
2016-12-01,91,76,18,0,False
2017-01-01,76,49,15,0,False
2017-02-01,78,57,15,0,False
2017-03-01,90,72,16,0,False
2017-04-01,88,57,13,0,False
2017-05-01,81,60,14,0,False
2017-06-01,83,58,13,0,False
2017-07-01,73,59,13,0,False
2017-08-01,90,60,15,0,False
2017-09-01,89,61,12,0,False
2017-10-01,70,38,10,0,False
2017-11-01,87,46,11,0,False
2017-12-01,88,45,10,0,False
2018-01-01,86,47,11,0,False
2018-02-01,65,38,9,0,False
2018-03-01,90,53,11,0,False
2018-04-01,91,51,10,0,False
2018-05-01,97,56,10,0,False
2018-06-01,88,51,9,0,False
2018-07-01,94,55,9,0,False
2018-08-01,98,53,9,0,False
2018-09-01,89,52,9,0,False
